"ISO3","Year","Region","country","iso3c","Population","UrbanPopulation","BirthRatePer1K","FertilityRate","PrimarySchoolAge","TotalTrade","FDIIn","PublicEdExpend","PublicHealthExpend","WomenBusLawIndex","MilitaryExpenditures","CO2Emissions"
"SSD",2019,"Sub-Saharan Africa","South Sudan","SSD",10447666,19.899,29.058,4.619,6,NA,NA,NA,0.76648843,67.5,3.34971373830548,0.174641876951273
"ESP",2019,"Europe & Central Asia","Spain","ESP",47134837,80.565,7.6,1.23,6,66.8738905174013,1.85614863696109,4.23021984100342,6.45363188,97.5,1.23270491757212,5.13179880095904
"LKA",2019,"South Asia","Sri Lanka","LKA",21803000,18.585,14.534,2.019,5,49.4255258543722,0.835214752952834,NA,1.49971151,65.625,1.75219928060225,1.07452644131542
"KNA",2019,"Latin America & Caribbean","St. Kitts and Nevis","KNA",47712,30.799,12.693,1.568,5,NA,5.6414137709831,2.98651361465454,2.42979836,71.25,NA,5.18737424547284
"LCA",2019,"Latin America & Caribbean","St. Lucia","LCA",178583,18.754,11.834,1.424,5,NA,3.5913805814328,3.27884006500244,2.05673742,83.75,NA,2.9935660169221
"MAF",2019,"Latin America & Caribbean","St. Martin (French part)","MAF",33121,NA,16.483,2.485,NA,NA,NA,NA,NA,NA,NA,NA
"VCT",2019,"Latin America & Caribbean","St. Vincent and the Grenadines","VCT",104924,52.614,13.346,1.838,5,NA,7.55828893565454,NA,2.87146282,68.125,NA,2.24066943692577
"SDN",2019,"Sub-Saharan Africa","Sudan","SDN",43232093,34.936,34.823,4.617,6,26.1196204552625,2.55226968828806,NA,1.00213731,29.375,1.63015149648972,0.511922936509227
"SUR",2019,"Latin America & Caribbean","Suriname","SUR",600301,66.095,18.409,2.394,6,NA,2.09560541663346,NA,6.14175844,68.75,NA,4.42581305045302
"SWE",2019,"Europe & Central Asia","Sweden","SWE",10278887,87.708,11.1,1.71,7,91.4338289680865,3.09382236180391,7.63851022720337,9.22085381,100,1.09340922552771,3.40159396635064
"CHE",2019,"Europe & Central Asia","Switzerland","CHE",8575280,73.849,10,1.48,6,124.127612180467,1.21642491474438,5.01438999176025,3.62418461,85.625,0.696324324760463,4.35860986463416
"SYR",2019,"Middle East & North Africa","Syrian Arab Republic","SYR",20098251,54.821,18.883,2.835,6,41.9994711236162,NA,NA,NA,37.5,NA,1.33545948848982
"TJK",2019,"Europe & Central Asia","Tajikistan","TJK",9337003,27.309,28.267,3.281,7,56.0450159145896,2.56372126311277,5.56805467605591,1.89777529,78.75,1.01529515863987,0.960233171179232
"TZA",2019,"Sub-Saharan Africa","Tanzania","TZA",59872579,34.5,37.113,4.864,7,33.0185892502311,1.99459353959394,3.59683632850647,1.56885314,81.25,1.02236539691676,0.249877326981355
"THA",2019,"East Asia & Pacific","Thailand","THA",71307763,50.692,9.377,1.352,6,109.689514715166,1.01451188952294,3.02221417427063,2.78445148,78.125,1.35138503031835,3.84904375698898
"TLS",2019,"East Asia & Pacific","Timor-Leste","TLS",1280438,30.947,25.511,3.336,6,70.8064146926001,3.67928327906685,4.17656230926514,3.43519258,86.25,1.69575076407375,0.482334951008952
"TGO",2019,"Sub-Saharan Africa","Togo","TGO",8243094,42.248,32.756,4.385,6,56.3421740349757,4.9437244573784,4.20166826248169,0.86334223,84.375,3.14621707722131,0.296284380597868
"TON",2019,"East Asia & Pacific","Tonga","TON",104951,23.107,23.424,3.315,6,87.1654471936074,0.340279568811314,5.27322959899902,2.89207935,58.75,NA,1.53881335099237
"TTO",2019,"Latin America & Caribbean","Trinidad and Tobago","TTO",1519955,53.187,12.359,1.643,5,NA,0.773783085518185,3.59864854812622,3.13612151,75,0.707947748096899,11.3130322937192
"TUN",2019,"Middle East & North Africa","Tunisia","TUN",12049314,69.254,17.215,2.148,6,100.936008262245,1.93333257157672,NA,2.81961799,64.375,2.38327777746153,2.57649522620126
